,client_id,product_category,product_company,subtype,amount,date,transaction_type
832713,897,4,Spotify,Subscription,169,01/01/2020 00:00,Negative
836440,901,4,Boom,Subscription,149,01/01/2020 00:00,Negative
848185,913,29,,Auto payment,8760,01/01/2020 00:00,Negative
594235,639,6,,Purchase,86,01/01/2020 00:00,Negative
199890,216,6,Arrow,Purchase,51,01/01/2020 00:01,Negative
509130,548,21,,Purchase,1295,01/01/2020 00:02,Negative
350701,379,one,Yandex.Drive,Purchase,576,01/01/2020 00:03,Negative
414990,447,28,,Replenishment,2531,01/01/2020 00:03,Positive
908721,979,6,Arrow,Purchase,76,01/01/2020 00:04,Negative
741387,798,eighteen,,Purchase,2488,01/01/2020 00:04,Negative
720504,776,one,Delimobil,Purchase,1434,01/01/2020 00:06,Negative
914920,986,2,Yandex.Lavka,Purchase,4391,01/01/2020 00:07,Negative
660934,711,15,Gas station GAZPROM,Purchase,1703,01/01/2020 00:07,Negative
805382,868,one,Lifcar,Purchase,542,01/01/2020 00:08,Negative
471943,509,6,,Purchase,77,01/01/2020 00:08,Negative
921116,992,6,Arrow,Purchase,86,01/01/2020 00:08,Negative
353761,382,6,Arrow,Purchase,55,01/01/2020 00:09,Negative
820376,883,28,,Replenishment,1387,01/01/2020 00:09,Positive
791003,853,one,BelkaCar,Purchase,658,01/01/2020 00:09,Negative
330860,358,6,,Purchase,63,01/01/2020 00:09,Negative
137683,148,28,,Replenishment,1172,01/01/2020 00:09,Positive
871793,939,9,Read-city,Purchase,370,01/01/2020 00:09,Negative
386880,417,6,Moscow subway,Purchase,94,01/01/2020 00:10,Negative
530587,572,5,Tanuki,Purchase,393,01/01/2020 00:10,Negative
419131,452,6,,Purchase,91,01/01/2020 00:10,Negative
412938,445,15,Gas station GAZPROM,Purchase,1549,01/01/2020 00:10,Negative
673703,725,10,Coral pool,Purchase,339,01/01/2020 00:11,Negative
210729,228,2,Billa,Purchase,3588,01/01/2020 00:13,Negative
390882,421,7,36.6,Purchase,334,01/01/2020 00:14,Negative
859068,925,28,,Translation,1143,01/01/2020 00:14,Negative
72112,78,6,Arrow,Purchase,64,01/01/2020 00:14,Negative
414367,447,6,Arrow,Purchase,73,01/01/2020 00:15,Negative
336669,364,6,,Purchase,50,01/01/2020 00:16,Negative
676142,728,6,,Purchase,67,01/01/2020 00:16,Negative
288192,312,2,Platypus Online,Purchase,3254,01/01/2020 00:17,Negative
404272,436,5,Yakitoria,Purchase,292,01/01/2020 00:17,Negative
717962,773,6,,Purchase,75,01/01/2020 00:17,Negative
169666,183,28,,Replenishment,987,01/01/2020 00:18,Positive
647267,696,7,Planet Health,Purchase,502,01/01/2020 00:19,Negative
79854,86,6,Moscow subway,Purchase,67,01/01/2020 00:19,Negative
620522,667,28,,Translation,144,01/01/2020 00:19,Negative
48068,52,6,,Purchase,75,01/01/2020 00:19,Negative
843708,908,28,,Translation,808,01/01/2020 00:20,Negative
904741,975,6,,Purchase,52,01/01/2020 00:21,Negative
504716,544,2,Yandex.Lavka,Purchase,3618,01/01/2020 00:22,Negative
636244,684,sixteen,,Purchase,957,01/01/2020 00:22,Negative
146869,158,eighteen,,Purchase,958,01/01/2020 00:22,Negative
737972,795,5,Dodo Pizza,Purchase,394,01/01/2020 00:22,Negative
508542,548,5,McDonald's,Purchase,193,01/01/2020 00:22,Negative
284387,307,28,,Translation,1327,01/01/2020 00:23,Negative
924657,996,6,Arrow,Purchase,68,01/01/2020 00:23,Negative
61458,67,one,Carousel,Purchase,1381,01/01/2020 00:24,Negative
292498,316,6,Arrow,Purchase,67,01/01/2020 00:24,Negative
364898,394,one,Carousel,Purchase,778,01/01/2020 00:24,Negative
522592,563,6,Arrow,Purchase,98,01/01/2020 00:25,Negative
643399,692,6,Arrow,Purchase,80,01/01/2020 00:25,Negative
775670,836,5,Yakitoria,Purchase,383,01/01/2020 00:25,Negative
766988,826,14,Miraj Restaurant,Purchase,1263,01/01/2020 00:25,Negative
415682,448,thirteen,Zara,Purchase,4305,01/01/2020 00:25,Negative
851104,917,3,YandexGO,Purchase,877,01/01/2020 00:26,Negative
85849,93,5,Tanuki,Purchase,199,01/01/2020 00:26,Negative
885278,954,6,,Purchase,79,01/01/2020 00:27,Negative
248320,269,2,Billa,Purchase,1705,01/01/2020 00:27,Negative
278759,302,5,Burger king,Purchase,466,01/01/2020 00:28,Negative
748750,807,one,Delimobil,Purchase,676,01/01/2020 00:28,Negative
781340,842,6,Arrow,Purchase,54,01/01/2020 00:29,Negative
634869,683,6,Arrow,Purchase,85,01/01/2020 00:29,Negative
150523,162,17,,Purchase,14136,01/01/2020 00:30,Negative
686514,739,28,,Replenishment,1653,01/01/2020 00:30,Positive
761552,820,14,Solo Burger Bar,Purchase,1287,01/01/2020 00:30,Negative
774481,835,one,Yandex.Drive,Purchase,676,01/01/2020 00:31,Negative
20652,23,2,Auchan,Purchase,4269,01/01/2020 00:31,Negative
557754,601,2,Yandex.Lavka,Purchase,2815,01/01/2020 00:32,Negative
35835,39,6,Arrow,Purchase,70,01/01/2020 00:32,Negative
684612,737,thirteen,H&M,Purchase,5687,01/01/2020 00:33,Negative
178861,194,5,Tanuki,Purchase,360,01/01/2020 00:33,Negative
433923,468,5,KFC,Purchase,248,01/01/2020 00:33,Negative
172389,187,3,YandexGO,Purchase,916,01/01/2020 00:33,Negative
741544,799,3,YandexGO,Purchase,871,01/01/2020 00:33,Negative
161070,174,6,Arrow,Purchase,74,01/01/2020 00:33,Negative
33042,36,6,,Purchase,68,01/01/2020 00:33,Negative
524729,565,eight,Kinohod,Purchase,353,01/01/2020 00:35,Negative
513497,553,6,Moscow subway,Purchase,97,01/01/2020 00:36,Negative
579537,624,5,Yakitoria,Purchase,296,01/01/2020 00:36,Negative
391619,422,6,Moscow subway,Purchase,77,01/01/2020 00:37,Negative
352704,381,3,Kiwi Taxi,Purchase,672,01/01/2020 00:38,Negative
317289,342,28,,Replenishment,1395,01/01/2020 00:39,Positive
813661,876,eighteen,,Purchase,1159,01/01/2020 00:40,Negative
257187,278,eleven,Rive Gauche,Purchase,2158,01/01/2020 00:41,Negative
241592,261,10,Great Moscow Circus,Purchase,381,01/01/2020 00:42,Negative
303048,327,7,Pharmacy VITA Express,Purchase,527,01/01/2020 00:42,Negative
76610,83,5,McDonald's,Purchase,362,01/01/2020 00:42,Negative
278618,301,28,,Replenishment,2699,01/01/2020 00:43,Positive
570387,614,10,Coral pool,Purchase,633,01/01/2020 00:43,Negative
389713,420,6,Arrow,Purchase,55,01/01/2020 00:45,Negative
284628,308,5,Yakitoria,Purchase,235,01/01/2020 00:45,Negative
690615,744,6,,Purchase,62,01/01/2020 00:46,Negative
843303,908,6,,Purchase,75,01/01/2020 00:46,Negative
42826,46,eight,Kinohod,Purchase,450,01/01/2020 00:47,Negative
747501,805,9,Rospechat,Purchase,356,01/01/2020 00:47,Negative
832326,896,thirteen,Lamoda,Purchase,3100,01/01/2020 00:47,Negative
591906,637,2,Auchan,Purchase,2597,01/01/2020 00:47,Negative
658593,709,6,,Purchase,79,01/01/2020 00:48,Negative
52510,57,2,SberMarket,Purchase,1816,01/01/2020 00:49,Negative
765739,825,6,Arrow,Purchase,89,01/01/2020 00:49,Negative
125552,135,6,,Purchase,78,01/01/2020 00:49,Negative
259210,280,28,,Translation,735,01/01/2020 00:49,Negative
498483,537,6,Arrow,Purchase,80,01/01/2020 00:50,Negative
304654,329,6,Arrow,Purchase,87,01/01/2020 00:50,Negative
380406,410,6,Arrow,Purchase,88,01/01/2020 00:50,Negative
59236,64,6,Arrow,Purchase,74,01/01/2020 00:50,Negative
767757,827,6,Moscow subway,Purchase,59,01/01/2020 00:51,Negative
373565,403,6,Moscow subway,Purchase,75,01/01/2020 00:52,Negative
4239,5,6,Moscow subway,Purchase,52,01/01/2020 00:52,Negative
611328,657,nineteen,,Purchase,276,01/01/2020 00:52,Negative
852581,918,14,Skala Cafe,Purchase,1509,01/01/2020 00:52,Negative
42436,46,6,Arrow,Purchase,one hundred,01/01/2020 00:52,Negative
467433,504,6,,Purchase,98,01/01/2020 00:52,Negative
747404,805,6,Arrow,Purchase,69,01/01/2020 00:52,Negative
908680,979,6,,Purchase,83,01/01/2020 00:53,Negative
254265,275,6,,Purchase,75,01/01/2020 00:54,Negative
722593,778,6,Moscow subway,Purchase,76,01/01/2020 00:55,Negative
640059,688,17,,Purchase,44928,01/01/2020 00:56,Negative
155799,168,9,White Rabbit,Purchase,210,01/01/2020 00:56,Negative
774148,834,6,,Purchase,81,01/01/2020 00:56,Negative
927903,999,10,Theater Magic Lantern,Purchase,668,01/01/2020 00:56,Negative
514009,554,5,KFC,Purchase,162,01/01/2020 00:57,Negative
478545,516,6,,Purchase,88,01/01/2020 00:57,Negative
28330,31,6,Moscow subway,Purchase,57,01/01/2020 00:58,Negative
102340,110,6,,Purchase,50,01/01/2020 00:58,Negative
414777,447,thirteen,Bershka,Purchase,8502,01/01/2020 00:59,Negative
23649,26,6,Arrow,Purchase,75,01/01/2020 01:00,Negative
873184,941,2,Yandex.Lavka,Purchase,4894,01/01/2020 01:00,Negative
120814,130,6,Arrow,Purchase,96,01/01/2020 01:00,Negative
846544,912,5,Burger king,Purchase,568,01/01/2020 01:00,Negative
502636,541,6,Arrow,Purchase,54,01/01/2020 01:00,Negative
278326,301,6,Arrow,Purchase,62,01/01/2020 01:01,Negative
775244,835,14,Solo Burger Bar,Purchase,628,01/01/2020 01:01,Negative
591450,636,6,,Purchase,76,01/01/2020 01:01,Negative
110919,119,21,,Purchase,1655,01/01/2020 01:02,Negative
49066,53,6,Arrow,Purchase,91,01/01/2020 01:03,Negative
555382,598,6,,Purchase,66,01/01/2020 01:04,Negative
622262,669,7,36.6,Purchase,116,01/01/2020 01:04,Negative
142715,154,6,,Purchase,80,01/01/2020 01:04,Negative
361143,390,one,Youdrive,Purchase,1124,01/01/2020 01:05,Negative
44216,48,5,Yakitoria,Purchase,495,01/01/2020 01:05,Negative
677466,730,2,Platypus Online,Purchase,4104,01/01/2020 01:05,Negative
734704,791,6,,Purchase,89,01/01/2020 01:06,Negative
379943,410,3,UBER,Purchase,593,01/01/2020 01:06,Negative
364994,394,5,Burger king,Purchase,254,01/01/2020 01:07,Negative
306564,331,6,Moscow subway,Purchase,92,01/01/2020 01:07,Negative
275685,298,6,Arrow,Purchase,88,01/01/2020 01:07,Negative
174700,189,10,Bowling Club Scooter,Purchase,329,01/01/2020 01:07,Negative
234665,254,3,Kiwi Taxi,Purchase,857,01/01/2020 01:08,Negative
444041,479,one,Delimobil,Purchase,565,01/01/2020 01:08,Negative
67741,73,6,Arrow,Purchase,74,01/01/2020 01:08,Negative
512325,552,6,,Purchase,83,01/01/2020 01:09,Negative
502252,541,5,KFC,Purchase,284,01/01/2020 01:10,Negative
615764,662,7,Pharmacy 23 plus,Purchase,423,01/01/2020 01:10,Negative
900729,971,6,,Purchase,82,01/01/2020 01:10,Negative
693068,747,5,Yakitoria,Purchase,322,01/01/2020 01:11,Negative
731699,788,5,Dodo Pizza,Purchase,417,01/01/2020 01:11,Negative
354876,383,6,Arrow,Purchase,85,01/01/2020 01:11,Negative
32431,35,28,,Replenishment,1453,01/01/2020 01:12,Positive
271461,294,5,Dodo Pizza,Purchase,345,01/01/2020 01:13,Negative
102609,110,sixteen,,Purchase,614,01/01/2020 01:13,Negative
554893,598,3,Citymobil,Purchase,445,01/01/2020 01:14,Negative
57780,63,2,Billa,Purchase,4636,01/01/2020 01:15,Negative
9425,10,28,,Translation,2568,01/01/2020 01:16,Negative
226753,245,6,Moscow subway,Purchase,65,01/01/2020 01:17,Negative
8564,9,28,,Replenishment,1933,01/01/2020 01:17,Positive
74113,80,6,,Purchase,85,01/01/2020 01:18,Negative
404927,436,28,,Replenishment,930,01/01/2020 01:18,Positive
504275,543,6,Moscow subway,Purchase,71,01/01/2020 01:19,Negative
51419,55,28,,Translation,394,01/01/2020 01:19,Negative
739700,796,28,,Translation,1110,01/01/2020 01:20,Negative
228142,246,12,,Purchase,52563,01/01/2020 01:21,Negative
226721,245,6,Arrow,Purchase,99,01/01/2020 01:22,Negative
298654,322,28,,Translation,531,01/01/2020 01:22,Negative
345667,373,6,Moscow subway,Purchase,77,01/01/2020 01:22,Negative
763108,822,6,Moscow subway,Purchase,one hundred,01/01/2020 01:23,Negative
339903,367,28,,Translation,949,01/01/2020 01:23,Negative
214906,232,6,,Purchase,69,01/01/2020 01:23,Negative
160750,173,21,,Purchase,2188,01/01/2020 01:24,Negative
778870,839,thirteen,Lamoda,Purchase,5050,01/01/2020 01:24,Negative
771670,831,eight,Cinema Pobeda,Purchase,308,01/01/2020 01:25,Negative
924030,995,twenty,,Purchase,1768,01/01/2020 01:25,Negative
839421,904,6,Moscow subway,Purchase,59,01/01/2020 01:25,Negative
163000,176,6,,Purchase,99,01/01/2020 01:26,Negative
914797,985,28,,Replenishment,2307,01/01/2020 01:26,Positive
167668,181,eleven,BritVa Barbershop,Purchase,1756,01/01/2020 01:26,Negative
392204,423,2,SberMarket,Purchase,2672,01/01/2020 01:27,Negative
406826,439,one,BelkaCar,Purchase,400,01/01/2020 01:28,Negative
76192,82,14,IL patio,Purchase,2564,01/01/2020 01:28,Negative
70325,76,6,,Purchase,56,01/01/2020 01:30,Negative
350324,378,eight,Karo Film,Purchase,362,01/01/2020 01:30,Negative
798279,860,eleven,Cosmetic center,Purchase,1240,01/01/2020 01:31,Negative
338617,366,6,Moscow subway,Purchase,51,01/01/2020 01:32,Negative
123679,133,10,Coral pool,Purchase,349,01/01/2020 01:32,Negative
744913,802,thirteen,Bershka,Purchase,1435,01/01/2020 01:34,Negative
409102,441,7,Pharmacy 23 plus,Purchase,575,01/01/2020 01:35,Negative
61879,67,6,Arrow,Purchase,75,01/01/2020 01:35,Negative
447471,482,7,Planet Health,Purchase,469,01/01/2020 01:36,Negative
802928,865,14,Own company,Purchase,2695,01/01/2020 01:36,Negative
778815,839,eight,Karo Film,Purchase,318,01/01/2020 01:37,Negative
925109,996,21,,Purchase,1629,01/01/2020 01:38,Negative
656173,706,nineteen,,Purchase,1052,01/01/2020 01:39,Negative
646189,695,6,Moscow subway,Purchase,81,01/01/2020 01:41,Negative
823296,887,one,Delimobil,Purchase,1045,01/01/2020 01:41,Negative
660385,711,5,PizzaHut,Purchase,207,01/01/2020 01:42,Negative
342711,370,thirteen,Marks & Spencer,Purchase,3536,01/01/2020 01:43,Negative
49741,54,5,,Purchase,198,01/01/2020 01:43,Negative
98,one,5,PizzaHut,Purchase,414,01/01/2020 01:43,Negative
578590,623,5,Tanuki,Purchase,283,01/01/2020 01:44,Negative
630712,678,6,Moscow subway,Purchase,98,01/01/2020 01:45,Negative
346649,374,thirteen,WILDBERRIES,Purchase,4748,01/01/2020 01:45,Negative
37832,41,6,Moscow subway,Purchase,59,01/01/2020 01:46,Negative
361250,390,2,Crossroads,Purchase,3927,01/01/2020 01:46,Negative
514429,554,6,Arrow,Purchase,79,01/01/2020 01:47,Negative
836044,900,9,White Rabbit,Purchase,552,01/01/2020 01:48,Negative
763937,823,6,,Purchase,63,01/01/2020 01:48,Negative
305815,330,10,Theater Magic Lantern,Purchase,584,01/01/2020 01:48,Negative
731907,788,6,,Purchase,67,01/01/2020 01:49,Negative
639855,688,14,Solo Burger Bar,Purchase,2663,01/01/2020 01:49,Negative
338844,366,15,Lukoil gas station,Purchase,1399,01/01/2020 01:50,Negative
699448,753,6,,Purchase,65,01/01/2020 01:50,Negative
339892,367,28,,Translation,378,01/01/2020 01:50,Negative
275115,298,3,UBER,Purchase,227,01/01/2020 01:52,Negative
733072,789,9,Rospechat,Purchase,537,01/01/2020 01:52,Negative
575645,619,28,,Replenishment,1552,01/01/2020 01:52,Positive
94103,101,nineteen,,Purchase,283,01/01/2020 01:53,Negative
218369,236,5,Yakitoria,Purchase,515,01/01/2020 01:53,Negative
12821,14,eight,Kinohod,Purchase,405,01/01/2020 01:53,Negative
290313,314,6,,Purchase,68,01/01/2020 01:55,Negative
281294,304,7,Pharmacy VITA Express,Purchase,107,01/01/2020 01:56,Negative
74211,80,6,Arrow,Purchase,81,01/01/2020 01:58,Negative
317867,343,6,,Purchase,90,01/01/2020 01:59,Negative
331642,359,3,YandexGO,Purchase,561,01/01/2020 01:59,Negative
911806,982,28,,Replenishment,910,01/01/2020 02:03,Positive
151866,164,6,Moscow subway,Purchase,64,01/01/2020 02:03,Negative
4107,5,6,,Purchase,65,01/01/2020 02:04,Negative
885829,954,17,,Purchase,35313,01/01/2020 02:04,Negative
513024,553,3,GETT,Purchase,543,01/01/2020 02:05,Negative
454922,490,9,Rospechat,Purchase,387,01/01/2020 02:05,Negative
697651,751,14,Miraj Restaurant,Purchase,982,01/01/2020 02:05,Negative
259397,281,2,Billa,Purchase,1543,01/01/2020 02:06,Negative
322590,349,5,,Purchase,578,01/01/2020 02:07,Negative
773138,833,6,Moscow subway,Purchase,97,01/01/2020 02:07,Negative
289763,313,eleven,Hairdresser DIMAX,Purchase,839,01/01/2020 02:07,Negative
646670,696,2,Crossroads,Purchase,3719,01/01/2020 02:08,Negative
319879,345,28,,Translation,603,01/01/2020 02:08,Negative
742123,799,6,Arrow,Purchase,64,01/01/2020 02:08,Negative
921196,992,10,Bowling Club Scooter,Purchase,392,01/01/2020 02:08,Negative
307995,333,5,McDonald's,Purchase,250,01/01/2020 02:09,Negative
837612,902,6,Moscow subway,Purchase,77,01/01/2020 02:10,Negative
802386,865,5,KFC,Purchase,392,01/01/2020 02:10,Negative
912021,983,5,PizzaHut,Purchase,445,01/01/2020 02:11,Negative
428154,462,3,Kiwi Taxi,Purchase,681,01/01/2020 02:11,Negative
831560,895,28,,Translation,2179,01/01/2020 02:14,Negative
321088,347,6,,Purchase,88,01/01/2020 02:14,Negative
719305,774,eleven,Cosmetic center,Purchase,2283,01/01/2020 02:14,Negative
96386,104,6,Moscow subway,Purchase,78,01/01/2020 02:15,Negative
674740,726,28,,Translation,1722,01/01/2020 02:15,Negative
690345,744,5,McDonald's,Purchase,498,01/01/2020 02:16,Negative
164886,178,6,Moscow subway,Purchase,73,01/01/2020 02:16,Negative
907281,978,3,Kiwi Taxi,Purchase,595,01/01/2020 02:16,Negative
720421,775,28,,Translation,287,01/01/2020 02:18,Negative
897749,968,2,Crossroads,Purchase,2539,01/01/2020 02:18,Negative
91491,98,28,,Translation,1823,01/01/2020 02:18,Negative
478190,516,3,UBER,Purchase,959,01/01/2020 02:18,Negative
727972,784,6,,Purchase,97,01/01/2020 02:18,Negative
158516,171,6,,Purchase,55,01/01/2020 02:20,Negative
624893,672,6,Moscow subway,Purchase,54,01/01/2020 02:20,Negative
523913,564,sixteen,,Purchase,1472,01/01/2020 02:20,Negative
744674,802,6,Moscow subway,Purchase,87,01/01/2020 02:21,Negative
399834,431,6,Moscow subway,Purchase,70,01/01/2020 02:21,Negative
454605,490,6,Moscow subway,Purchase,91,01/01/2020 02:21,Negative
592355,637,6,,Purchase,57,01/01/2020 02:21,Negative
625842,673,6,Arrow,Purchase,94,01/01/2020 02:22,Negative
889588,959,2,SberMarket,Purchase,1154,01/01/2020 02:24,Negative
617645,664,10,Coral pool,Purchase,257,01/01/2020 02:25,Negative
364771,393,28,,Translation,247,01/01/2020 02:26,Negative
916052,987,6,Arrow,Purchase,77,01/01/2020 02:26,Negative
838928,903,15,Gas station GAZPROMNEFT,Purchase,1283,01/01/2020 02:26,Negative
636788,685,6,Arrow,Purchase,94,01/01/2020 02:28,Negative
853361,919,6,Moscow subway,Purchase,77,01/01/2020 02:28,Negative
325399,352,6,Arrow,Purchase,97,01/01/2020 02:29,Negative
616200,663,5,Burger king,Purchase,250,01/01/2020 02:29,Negative
248061,268,15,Gas station GAZPROMNEFT,Purchase,1594,01/01/2020 02:30,Negative
462462,499,2,Yandex.Lavka,Purchase,3468,01/01/2020 02:30,Negative
573226,617,eight,Okko,Purchase,316,01/01/2020 02:30,Negative
5702,7,one,Lifcar,Purchase,775,01/01/2020 02:31,Negative
803065,865,14,IL patio,Purchase,1454,01/01/2020 02:32,Negative
461860,498,6,,Purchase,99,01/01/2020 02:32,Negative
416264,449,6,,Purchase,61,01/01/2020 02:33,Negative
659299,710,2,Billa,Purchase,3385,01/01/2020 02:33,Negative
585641,630,6,Moscow subway,Purchase,77,01/01/2020 02:33,Negative
406191,438,6,Moscow subway,Purchase,63,01/01/2020 02:35,Negative
722739,778,6,,Purchase,84,01/01/2020 02:36,Negative
168992,183,5,PizzaHut,Purchase,435,01/01/2020 02:37,Negative
170039,184,6,Moscow subway,Purchase,65,01/01/2020 02:37,Negative
45310,49,6,,Purchase,85,01/01/2020 02:38,Negative
423630,457,6,Moscow subway,Purchase,61,01/01/2020 02:38,Negative
732794,789,6,Moscow subway,Purchase,84,01/01/2020 02:38,Negative
35324,38,15,Gas station GAZPROMNEFT,Purchase,1086,01/01/2020 02:38,Negative
599374,645,5,Burger king,Purchase,508,01/01/2020 02:39,Negative
312465,337,28,,Replenishment,423,01/01/2020 02:39,Positive
205523,222,10,Theater Magic Lantern,Purchase,247,01/01/2020 02:40,Negative
312754,338,5,Burger king,Purchase,507,01/01/2020 02:40,Negative
873467,941,6,Moscow subway,Purchase,89,01/01/2020 02:41,Negative
610541,657,one,Yandex.Drive,Purchase,966,01/01/2020 02:41,Negative
407980,440,6,Arrow,Purchase,60,01/01/2020 02:43,Negative
910127,980,28,,Translation,1127,01/01/2020 02:44,Negative
90134,97,6,Moscow subway,Purchase,57,01/01/2020 02:44,Negative
324955,351,7,36.6,Purchase,527,01/01/2020 02:44,Negative
711544,766,6,Moscow subway,Purchase,84,01/01/2020 02:45,Negative
18723,21,5,PizzaHut,Purchase,294,01/01/2020 02:46,Negative
835442,900,3,GETT,Purchase,672,01/01/2020 02:46,Negative
676576,728,28,,Translation,1763,01/01/2020 02:47,Negative
359296,388,2,Auchan,Purchase,4124,01/01/2020 02:48,Negative
848944,914,15,Lukoil gas station,Purchase,1636,01/01/2020 02:50,Negative
218043,235,15,Gas station GAZPROM,Purchase,1044,01/01/2020 02:50,Negative
292525,316,eleven,Rive Gauche,Purchase,1376,01/01/2020 02:51,Negative
712624,767,9,Rospechat,Purchase,253,01/01/2020 02:51,Negative
424465,458,5,Dodo Pizza,Purchase,253,01/01/2020 02:51,Negative
175579,190,6,,Purchase,76,01/01/2020 02:51,Negative
670310,721,28,,Replenishment,1773,01/01/2020 02:51,Positive
701752,755,28,,Replenishment,1828,01/01/2020 02:52,Positive
332887,360,6,,Purchase,78,01/01/2020 02:52,Negative
671069,722,9,Read-city,Purchase,525,01/01/2020 02:52,Negative
758757,817,14,Solo Burger Bar,Purchase,1881,01/01/2020 02:52,Negative
626411,673,28,,Replenishment,2276,01/01/2020 02:53,Positive
688382,742,2,Platypus Online,Purchase,1194,01/01/2020 02:53,Negative
526397,567,6,Moscow subway,Purchase,94,01/01/2020 02:54,Negative
362192,391,5,McDonald's,Purchase,463,01/01/2020 02:54,Negative
749930,808,6,,Purchase,66,01/01/2020 02:56,Negative
702272,756,6,,Purchase,72,01/01/2020 02:56,Negative
223838,242,6,Moscow subway,Purchase,60,01/01/2020 02:56,Negative
270940,293,10,Great Moscow Circus,Purchase,578,01/01/2020 02:57,Negative
73967,80,5,PizzaHut,Purchase,418,01/01/2020 02:58,Negative
922092,993,6,Moscow subway,Purchase,74,01/01/2020 02:58,Negative
689775,743,9,Storytel,Purchase,548,01/01/2020 02:58,Negative
452723,488,5,McDonald's,Purchase,513,01/01/2020 03:00,Negative
330344,357,14,IL patio,Purchase,2063,01/01/2020 03:01,Negative
911873,983,3,UBER,Purchase,971,01/01/2020 03:01,Negative
524301,565,6,Moscow subway,Purchase,71,01/01/2020 03:01,Negative
29043,32,6,Moscow subway,Purchase,67,01/01/2020 03:02,Negative
928826,1000,eleven,Cosmetic center,Purchase,2113,01/01/2020 03:02,Negative
895815,965,28,,Replenishment,2560,01/01/2020 03:03,Positive
716198,771,6,Arrow,Purchase,90,01/01/2020 03:03,Negative
323969,350,7,Pharmacy 23 plus,Purchase,483,01/01/2020 03:04,Negative
198550,215,5,Burger king,Purchase,236,01/01/2020 03:04,Negative
165480,179,5,,Purchase,566,01/01/2020 03:04,Negative
115641,124,12,,Purchase,129524,01/01/2020 03:04,Negative
385951,416,6,Arrow,Purchase,95,01/01/2020 03:04,Negative
389288,419,28,,Replenishment,93,01/01/2020 03:04,Positive
203400,220,6,,Purchase,98,01/01/2020 03:04,Negative
80296,86,28,,Replenishment,1353,01/01/2020 03:06,Positive
613671,660,6,,Purchase,79,01/01/2020 03:06,Negative
349692,377,28,,Translation,865,01/01/2020 03:06,Negative
338324,366,6,Moscow subway,Purchase,75,01/01/2020 03:08,Negative
269379,291,28,,Translation,827,01/01/2020 03:08,Negative
672396,724,6,Moscow subway,Purchase,73,01/01/2020 03:09,Negative
921545,993,2,Auchan,Purchase,4625,01/01/2020 03:09,Negative
110695,119,6,Arrow,Purchase,97,01/01/2020 03:10,Negative
140499,151,15,Gas station GAZPROMNEFT,Purchase,1499,01/01/2020 03:10,Negative
517603,558,one,Carousel,Purchase,451,01/01/2020 03:10,Negative
835169,899,eleven,Hairdresser DIMAX,Purchase,1206,01/01/2020 03:10,Negative
202219,219,5,Dodo Pizza,Purchase,200,01/01/2020 03:11,Negative
629906,677,eleven,Hairdresser DIMAX,Purchase,1412,01/01/2020 03:11,Negative
17249,nineteen,6,Moscow subway,Purchase,66,01/01/2020 03:13,Negative
725208,781,5,,Purchase,553,01/01/2020 03:14,Negative
396058,427,5,KFC,Purchase,449,01/01/2020 03:16,Negative
878154,946,6,,Purchase,68,01/01/2020 03:17,Negative
